qid,common,const,typ,ra,dec,radm,decdm,maj,min,pa,rot,pal,maxalt,peak,fit,src,note,png
NGC 6888,Crescent,Cyg,WR bubble,303.02725786560995,38.35494005028,20h12m06s,+38°21',18,12,60,PA 060° (long axis),SHO / HOO,88,Jul,fits,SIMBAD,OIII shell + Ha; classic,NGC_6888.png
Sh2-101,Tulip,Cyg,HII,299.9791666666667,35.276666666666664,19h59m55s,+35°16',16,9,135,PA 135° (long axis),SHO,85,Jul,fits,SIMBAD,near Cyg X-1,Sh2-101.png
NGC 6960,Western Veil,Cyg,SNR,311.4083333333333,30.708333333333332,20h45m37s,+30°42',70,8,10,PA 010° (long axis),HOO,80,Aug,fits,SIMBAD,Witch's Broom / 52 Cyg; long thin,NGC_6960.png
NGC 6992,Eastern Veil,Cyg,SNR,314.07916666666665,31.743333333333336,20h56m19s,+31°44',60,8,200,PA 200° (long axis),HOO,81,Aug,fits,SIMBAD,Network; OIII-rich filament,NGC_6992.png
IC 5146,Cocoon,Cyg,HII+refl,328.37199999999996,47.246,21h53m29s,+47°14',12,12,0,any (round),Ha / HOO,83,Aug,fits,SIMBAD,small; emission core + dust,IC_5146.png
IC 5070,Pelican,Cyg,HII,312.75,44.36666666666667,20h51m00s,+44°22',60,50,0,any (round),SHO,86,Aug,fits,SIMBAD,fits tight; pairs w/ NGC7000,IC_5070.png
IC 1396A,Elephant's Trunk,Cep,HII,324.0,57.4,21h36m00s,+57°23',20,10,120,PA 120° (long axis),SHO,73,Aug,fits,SIMBAD,trunk only (full IC1396 too big),IC_1396A.png
NGC 7380,Wizard,Cep,HII,341.8166666666667,58.125,22h47m16s,+58°07',25,20,0,any (round),SHO,73,Sep,fits,SIMBAD,open cluster + neb,NGC_7380.png
Sh2-155,Cave,Cep,HII,344.2746161828758,62.63591585690456,22h57m05s,+62°38',50,30,90,PA 090° (long axis),SHO,68,Sep,fits,SIMBAD,dark cave rim,Sh2-155.png
NGC 281,Pacman,Cas,HII,13.104583333333332,56.565,00h52m25s,+56°33',35,30,0,any (round),SHO,74,Oct,fits,SIMBAD,round; Bok globules,NGC_281.png
