rank,name,common_name,object_type,constellation,ra_deg,dec_deg,size_major_arcmin,size_minor_arcmin,best_site,dark_minutes,peak_alt_deg,best_night,fits_fov,mosaic,score,captured_minutes,budget_minutes,completion_pct,deficit_minutes,budget_minutes_json,notes
1,M57,Ring Nebula,PN,Lyr,283.39600,+33.02900,1.4,1.0,Jersey City,210,76.84,2026-06-12,yes,no,430.26,0.0,960.0,0.0,960.0,"{""Ha"": 240, ""OIII"": 540, ""SII"": 180}",Tiny — undersampled at 840mm; do for the outer Ha halo
2,M97,Owl Nebula,PN,UMa,168.70000,+55.01700,3.0,3.0,Jersey City,180,62.46,2026-05-30,yes,no,363.69,0.0,1320.0,0.0,1320.0,"{""Ha"": 360, ""OIII"": 720, ""SII"": 240}",Small but bright OIII; useful narrowband target in galaxy season
3,Sh2-101,Tulip Nebula,HII,Cyg,300.00000,+35.30000,17.0,12.0,Jersey City,150,65.88,2026-06-12,yes,no,323.82,0.0,1860.0,0.0,1860.0,"{""Ha"": 600, ""OIII"": 720, ""SII"": 540}",Near Cygnus X-1; OIII reveals shock front
4,NGC 6888,Crescent Nebula,WR,Cyg,303.02500,+38.35000,18.0,13.0,Jersey City,150,64.57,2026-06-12,yes,no,321.86,0.0,2040.0,0.0,2040.0,"{""Ha"": 600, ""OIII"": 900, ""SII"": 540}",Wolf-Rayet bubble — OIII shell is the headline; needs long subs
5,NGC 7023,Iris Nebula,REF,Cep,315.37900,+68.15800,18.0,18.0,Jersey City,150,53.47,2026-06-12,yes,no,305.21,0.0,1080.0,0.0,1080.0,"{""L"": 360, ""R"": 240, ""G"": 240, ""B"": 240}",Pure reflection — broadband only; embedded in dark dust
6,M27,Dumbbell Nebula,PN,Vul,299.90100,+22.72100,8.0,6.0,Jersey City,120,59.10,2026-06-12,yes,no,268.65,0.0,1140.0,0.0,1140.0,"{""Ha"": 360, ""OIII"": 540, ""SII"": 240}",Showcase OIII PN; faint outer halo rewards long Ha
7,IC 5070,Pelican Nebula,HII,Cyg,313.66700,+44.36700,60.0,50.0,Jersey City,120,58.01,2026-06-12,yes,no,267.01,0.0,1680.0,0.0,1680.0,"{""Ha"": 540, ""OIII"": 600, ""SII"": 540}",Across the dust lane from NGC 7000; fits single frame
8,IC 1318,Butterfly / Sadr Region,HII,Cyg,305.50000,+40.25000,240.0,180.0,Jersey City,150,63.18,2026-06-12,no,yes,255.82,0.0,1620.0,0.0,1620.0,"{""Ha"": 540, ""OIII"": 600, ""SII"": 480}",Huge complex around Sadr; pick a panel or do 4-panel mosaic
9,NGC 6992,Eastern Veil,SNR,Cyg,313.04100,+31.71700,60.0,8.0,Jersey City,90,54.51,2026-06-12,yes,no,216.76,0.0,1680.0,0.0,1680.0,"{""Ha"": 480, ""OIII"": 720, ""SII"": 480}",Eastern strand; complementary to 6960
10,NGC 6960,Western Veil / Witch's Broom,SNR,Cyg,312.74900,+30.71700,70.0,6.0,Jersey City,90,54.27,2026-06-12,yes,no,216.40,0.0,1680.0,0.0,1680.0,"{""Ha"": 480, ""OIII"": 720, ""SII"": 480}",Western strand of Cygnus Loop; OIII spectacular
11,NGC 7000,North America Nebula,HII,Cyg,314.73700,+44.33700,120.0,100.0,Jersey City,120,57.25,2026-06-12,no,yes,212.70,0.0,1740.0,0.0,1740.0,"{""Ha"": 600, ""OIII"": 600, ""SII"": 540}",Two-panel mosaic for full nebula; Cygnus Wall alone (~30') fits single frame
12,IC 1396,Elephant's Trunk Nebula,HII,Cep,324.50000,+57.50000,170.0,140.0,Jersey City,90,51.88,2026-06-12,no,yes,170.25,0.0,1740.0,0.0,1740.0,"{""Ha"": 600, ""OIII"": 600, ""SII"": 540}",Mosaic for full nebula; Trunk itself (~20') fits single frame
