dir,target,date,rig,filter,gain,exposure_s,frames,rejected,solved,total_minutes,size_gb,sidecar,processed
s30_ir_20260531,m13,20260531,S30 Pro,IR,80,10.0,759,68,759,126.5,12.79,yes,output\processed\m13
s30_lp_20260603,m27,20260603,S30 Pro,LP,80,60.0,219,7,219,219.0,3.49,yes,output\processed\m27
s30_20260517,m51,20260517,S30 Pro,?,,12.0,1042,128,1042,208.4,18.09,,output\processed\m51
s30_ir_20260608,m51,20260608,S30 Pro,IR,80,60.0,64,6,64,64.0,1.08,yes,output\processed\m51
s30_lp_20260528,M51,20260528,S30 Pro,LP,80,60.0,254,18,254,254.0,4.21,yes,output\processed\m51
s30_lp_20260530,M57,20260530,S30 Pro,LP,80,30.0,152,97,152,76.0,4.08,yes,output\processed\m57
s30_ir_20260605,m81,20260605,S30 Pro,IR,80,60.0,147,33,147,147.0,2.78,yes,output\processed\m81
s30_ir_20260613,M81,20260613,S30 Pro,IR,80,60.0,54,5,54,54.0,0.91,yes,output\processed\m81
s30_lp_20260530,m97,20260530,S30 Pro,LP,80,20.0,137,32,137,45.7,2.61,yes,output\processed\m97
s30_ir_20260603,ngc4631,20260603,S30 Pro,IR,80,60.0,59,11,59,59.0,1.08,yes,output\processed\ngc4631
esprit80_ha_20260615,NGC 6888,20260615,ASI2600MM (Esprit 80/120),Ha,100,180.0,36,0,0,108.0,1.75,yes,output\processed\ngc6888
s30_lp_20260530,NGC 6888,20260530,S30 Pro,LP,80,60.0,190,21,190,190.0,3.26,yes,output\processed\ngc6888
s30_lp_20260601,NGC 6888,20260601,S30 Pro,LP,80,60.0,88,2,88,88.0,1.39,yes,output\processed\ngc6888
esprit80_ha_20260616,NGC 7000,20260616,ASI2600MM (Esprit 80/120),Ha,100,180.0,9,0,0,27.0,0.44,yes,output\processed\ngc7000
s30_lp_20260613,NGC 7000,20260613,S30 Pro,LP,80,60.0,51,104,51,51.0,2.4,yes,output\processed\ngc7000
s30_lp_20260614,NGC 7000,20260614,S30 Pro,LP,80,60.0,70,44,70,70.0,1.76,yes,output\processed\ngc7000
