rank,score,global_score,name,type,ra_deg,dec_deg,max_mag,min_mag_or_amplitude,min_is_amplitude,amplitude_mag,period_days,primary_site,observable_sites,max_altitude_deg,minutes_above_minimum,best_night_date,best_local_time,galactic_latitude_deg,aavso_status,aavso_recent_observations,aavso_derived_period_days,aavso_period_disagrees,simbad_status,simbad_main_id,simbad_object_type,simbad_separation_arcsec,gaia_status,gaia_source_id,gaia_bp_rp,gaia_color_anomaly,ztf_status,ztf_observations,ztf_amplitude_mag,ztf_derived_period_days,ztf_period_disagrees,vsx_url,reasons
1,112.0,112.0,V0347 And,SRS:,3.45646,25.55194,9.380,9.720,False,0.340,15.11000000,Jersey City,Fairbanks|Jersey City,73.1,180,2026-09-21,2026-09-22T00:30:00-04:00,-36.5,ok,0,,,ok,V* V347 And,LP*,0.084,ok,2850364533574069760,2.852,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=347,"max altitude 73.1 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (SRS:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.34 mag; bright enough for Jersey City (9.38); long-period cadence friendly (15.11 d); well away from Galactic plane (b=-36.5 deg); also observable from Fairbanks; sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=1.00 suggests blended/contaminated PSF"
2,112.0,112.0,EE And,SR:,8.28288,26.04061,13.400,15.000,False,1.600,285.00000000,Jersey City,Fairbanks|Jersey City,71.4,180,2026-09-21,2026-09-22T00:30:00-04:00,-36.6,ok,2,,,ok,V* EE And,LP?,0.709,ok,2807764402232400640,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=149,"max altitude 71.4 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (SR:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.60 mag; bright enough for Jersey City (13.40); long-period cadence friendly (285.00 d); well away from Galactic plane (b=-36.6 deg); also observable from Fairbanks; sparse AAVSO coverage (2 recent observations); Gaia ipd_frac_multi_peak=1.00 suggests blended/contaminated PSF"
3,108.0,114.0,V0386 And,LB:,351.06219,35.49625,9.320,9.530,False,0.210,,Jersey City,Fairbanks|Jersey City,84.4,270,2026-09-20,2026-09-21T00:30:00-04:00,-24.1,ok,0,,,ok,V* V386 And,LP?,0.032,ok,1913085640319466880,2.702,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=386,"max altitude 84.4 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.21 mag; bright enough for Jersey City (9.32); no catalog period listed; well away from Galactic plane (b=-24.1 deg); also observable from Fairbanks; sparse AAVSO coverage (0 recent observations)"
4,108.0,114.0,GU Dra,LB:,267.33682,53.01508,10.130,10.350,False,0.220,,Jersey City,Fairbanks|Jersey City,73.4,210,2026-09-18,2026-09-18T20:00:00-04:00,30.5,ok,0,,,ok,V* GU Dra,LP?,0.042,ok,1368924244672469376,2.345,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=13875,"max altitude 73.4 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.22 mag; bright enough for Jersey City (10.13); no catalog period listed; well away from Galactic plane (b=30.5 deg); also observable from Fairbanks; sparse AAVSO coverage (0 recent observations)"
5,106.0,114.0,KQ And,LB:,352.68124,46.15303,9.400,10.100,False,0.700,,Jersey City,Fairbanks|Jersey City,84.6,270,2026-09-19,2026-09-20T00:30:00-04:00,-14.5,ok,0,,,ok,V* KQ And,LP?,0.021,ok,1938386124430465664,1.783,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=250,"max altitude 84.6 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.70 mag; bright enough for Jersey City (9.40); no catalog period listed; also observable from Fairbanks; sparse AAVSO coverage (0 recent observations)"
6,106.0,114.0,KT And,SR:,357.03726,44.72697,11.200,11.900,False,0.700,,Jersey City,Fairbanks|Jersey City,85.6,240,2026-09-21,2026-09-22T00:30:00-04:00,-16.7,ok,0,,,ok,V* KT And,LP?,0.135,ok,1926208105438733056,3.476,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=253,"max altitude 85.6 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (SR:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.70 mag; bright enough for Jersey City (11.20); no catalog period listed; also observable from Fairbanks; sparse AAVSO coverage (0 recent observations)"
7,104.0,112.0,IV And,SR:,14.86283,39.62125,10.000,10.900,False,0.900,300.00000000,Jersey City,Fairbanks|Jersey City,74.4,180,2026-09-21,2026-09-22T00:30:00-04:00,-23.2,ok,0,,,ok,V* IV And,AB*,0.041,ok,373942156556175616,3.882,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=239,"max altitude 74.4 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (SR:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.90 mag; bright enough for Jersey City (10.00); long-period cadence friendly (300.00 d); also observable from Fairbanks; sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=4.00 suggests blended/contaminated PSF"
8,98.0,98.0,HL And,SRB,14.48517,38.45150,12.000,14.200,False,2.200,100.00000000,Jersey City,Fairbanks|Jersey City,74.5,180,2026-09-21,2026-09-22T00:30:00-04:00,-24.4,ok,0,,,ok,V* HL And,LP*,0.586,ok,370775494348664192,1.844,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=212,"max altitude 74.5 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 2.20 mag; bright enough for Jersey City (12.00); long-period cadence friendly (100.00 d); well away from Galactic plane (b=-24.4 deg); also observable from Fairbanks; sparse AAVSO coverage (0 recent observations)"
9,92.0,92.0,YY And,M,359.38446,32.03903,11.900,15.200,False,3.300,227.80000000,Jersey City,Fairbanks|Jersey City,80.5,210,2026-09-21,2026-09-22T00:30:00-04:00,-29.5,ok,0,,,ok,V* YY And,Mi*,1.033,ok,2873811241079717120,5.604,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=52,"max altitude 80.5 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 3.30 mag; bright enough for Jersey City (11.90); long-period cadence friendly (227.80 d); well away from Galactic plane (b=-29.5 deg); also observable from Fairbanks; sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=4.00 suggests blended/contaminated PSF"
10,92.0,92.0,BH And,SRB,4.31492,22.59461,10.000,11.400,False,1.400,98.50000000,Jersey City,Fairbanks|Jersey City,70.1,180,2026-09-21,2026-09-22T00:30:00-04:00,-39.6,ok,0,,,ok,V* BH And,LP*,0.060,ok,2800589504745585408,4.152,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=86,"max altitude 70.1 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.40 mag; bright enough for Jersey City (10.00); long-period cadence friendly (98.50 d); well away from Galactic plane (b=-39.6 deg); also observable from Fairbanks; sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=2.00 suggests blended/contaminated PSF"
11,92.0,92.0,IX And,SR,15.41875,37.89639,12.900,14.200,False,1.300,89.00000000,Jersey City,Fairbanks|Jersey City,73.6,180,2026-09-21,2026-09-22T00:30:00-04:00,-24.9,ok,1,,,ok,V* IX And,LP*,0.878,ok,370503051687007104,3.696,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=241,"max altitude 73.6 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.30 mag; bright enough for Jersey City (12.90); long-period cadence friendly (89.00 d); well away from Galactic plane (b=-24.9 deg); also observable from Fairbanks; sparse AAVSO coverage (1 recent observations); Gaia ipd_frac_multi_peak=4.00 suggests blended/contaminated PSF"
12,92.0,92.0,CM And,SR,355.77747,35.47925,11.900,13.700,False,1.800,374.00000000,Jersey City,Fairbanks|Jersey City,84.7,240,2026-09-21,2026-09-22T00:30:00-04:00,-25.3,ok,2,,,ok,V* CM And,Mi*,0.242,ok,2879060137791270016,6.609,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=113,"max altitude 84.7 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.80 mag; bright enough for Jersey City (11.90); long-period cadence friendly (374.00 d); well away from Galactic plane (b=-25.3 deg); also observable from Fairbanks; sparse AAVSO coverage (2 recent observations); Gaia ipd_frac_multi_peak=10.00 suggests blended/contaminated PSF"
