rank,score,global_score,name,type,ra_deg,dec_deg,max_mag,min_mag_or_amplitude,min_is_amplitude,amplitude_mag,period_days,primary_site,observable_sites,max_altitude_deg,minutes_above_minimum,best_night_date,best_local_time,galactic_latitude_deg,aavso_status,aavso_recent_observations,aavso_derived_period_days,aavso_period_disagrees,simbad_status,simbad_main_id,simbad_object_type,simbad_separation_arcsec,gaia_status,gaia_source_id,gaia_bp_rp,gaia_color_anomaly,ztf_status,ztf_observations,ztf_amplitude_mag,ztf_derived_period_days,ztf_period_disagrees,vsx_url,reasons
1,114.0,114.0,CR And,LB:,39.55425,46.55819,10.800,11.600,False,0.800,,Fairbanks,Fairbanks|Jersey City,71.7,420,2026-09-19,2026-09-20T04:30:00-08:00,-12.5,ok,0,,,ok,V* CR And,LP*,0.066,ok,341933414568212992,2.898,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=118,"max altitude 71.7 deg from Fairbanks; long nightly window from Fairbanks; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.80 mag; bright enough for Fairbanks (10.80); no catalog period listed; well away from Galactic plane (b=-12.5 deg); also observable from Jersey City; sparse AAVSO coverage (0 recent observations)"
2,114.0,114.0,KQ And,LB:,352.68124,46.15303,9.400,10.100,False,0.700,,Fairbanks,Fairbanks|Jersey City,71.3,420,2026-09-25,2026-09-26T01:00:00-08:00,-14.5,ok,0,,,ok,V* KQ And,LP?,0.021,ok,1938386124430465664,1.783,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=250,"max altitude 71.3 deg from Fairbanks; long nightly window from Fairbanks; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.70 mag; bright enough for Fairbanks (9.40); no catalog period listed; well away from Galactic plane (b=-14.5 deg); also observable from Jersey City; sparse AAVSO coverage (0 recent observations)"
3,114.0,114.0,KT And,SR:,357.03726,44.72697,11.200,11.900,False,0.700,,Fairbanks,Fairbanks|Jersey City,69.9,420,2026-09-22,2026-09-23T01:30:00-08:00,-16.7,ok,0,,,ok,V* KT And,LP?,0.135,ok,1926208105438733056,3.476,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=253,"max altitude 69.9 deg from Fairbanks; long nightly window from Fairbanks; uncertain or broad VSX type (SR:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.70 mag; bright enough for Fairbanks (11.20); no catalog period listed; well away from Galactic plane (b=-16.7 deg); also observable from Jersey City; sparse AAVSO coverage (0 recent observations)"
4,114.0,114.0,GU Dra,LB:,267.33682,53.01508,10.130,10.350,False,0.220,,Fairbanks,Fairbanks|Jersey City,69.6,420,2026-09-18,2026-09-18T22:00:00-08:00,30.5,ok,0,,,ok,V* GU Dra,LP?,0.042,ok,1368924244672469376,2.345,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=13875,"max altitude 69.6 deg from Fairbanks; long nightly window from Fairbanks; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.22 mag; bright enough for Fairbanks (10.13); no catalog period listed; well away from Galactic plane (b=30.5 deg); also observable from Jersey City; sparse AAVSO coverage (0 recent observations)"
5,114.0,114.0,V0386 And,LB:,351.06219,35.49625,9.320,9.530,False,0.210,,Fairbanks,Fairbanks|Jersey City,60.7,420,2026-09-24,2026-09-25T01:00:00-08:00,-24.1,ok,0,,,ok,V* V386 And,LP?,0.032,ok,1913085640319466880,2.702,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=386,"max altitude 60.7 deg from Fairbanks; long nightly window from Fairbanks; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.21 mag; bright enough for Fairbanks (9.32); no catalog period listed; well away from Galactic plane (b=-24.1 deg); also observable from Jersey City; sparse AAVSO coverage (0 recent observations)"
6,114.0,114.0,CV Aur,LB:,99.98992,44.04022,14.400,15.600,False,1.200,,Fairbanks,Fairbanks,53.6,330,2026-09-25,2026-09-26T04:30:00-08:00,16.6,ok,0,,,ok,V* CV Aur,LP*,0.146,ok,964233871784567552,3.067,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=3884,"max altitude 53.6 deg from Fairbanks; long nightly window from Fairbanks; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.20 mag; bright enough for Fairbanks (14.40); no catalog period listed; well away from Galactic plane (b=16.6 deg); sparse AAVSO coverage (0 recent observations)"
7,112.0,112.0,IV And,SR:,14.86283,39.62125,10.000,10.900,False,0.900,300.00000000,Fairbanks,Fairbanks|Jersey City,64.8,420,2026-09-25,2026-09-26T02:30:00-08:00,-23.2,ok,0,,,ok,V* IV And,AB*,0.041,ok,373942156556175616,3.882,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=239,"max altitude 64.8 deg from Fairbanks; long nightly window from Fairbanks; uncertain or broad VSX type (SR:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.90 mag; bright enough for Fairbanks (10.00); long-period cadence friendly (300.00 d); well away from Galactic plane (b=-23.2 deg); also observable from Jersey City; sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=4.00 suggests blended/contaminated PSF"
8,112.0,112.0,FM Cam,SRB:,137.31580,74.88908,9.070,9.290,False,0.220,32.22000000,Fairbanks,Fairbanks,60.4,420,2026-09-25,2026-09-26T04:30:00-08:00,34.9,ok,0,,,ok,V* FM Cam,LP*,0.041,ok,1124500095397880064,3.129,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4709,"max altitude 60.4 deg from Fairbanks; long nightly window from Fairbanks; uncertain or broad VSX type (SRB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.22 mag; bright enough for Fairbanks (9.07); long-period cadence friendly (32.22 d); well away from Galactic plane (b=34.9 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=1.00 suggests blended/contaminated PSF"
9,112.0,112.0,FP Cam,LB:,173.21846,79.91661,8.173,0.123,True,0.123,43.52760000,Fairbanks,Fairbanks,57.8,420,2026-09-18,2026-09-18T22:00:00-08:00,36.6,ok,0,,,ok,V* FP Cam,LP?,0.036,ok,1130186391579584256,2.352,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4712,"max altitude 57.8 deg from Fairbanks; long nightly window from Fairbanks; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.12 mag; bright enough for Fairbanks (8.17); long-period cadence friendly (43.53 d); well away from Galactic plane (b=36.6 deg); sparse AAVSO coverage (0 recent observations)"
10,112.0,112.0,V0347 And,SRS:,3.45646,25.55194,9.380,9.720,False,0.340,15.11000000,Jersey City,Fairbanks|Jersey City,73.1,180,2026-09-21,2026-09-22T00:30:00-04:00,-36.5,ok,0,,,ok,V* V347 And,LP*,0.084,ok,2850364533574069760,2.852,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=347,"max altitude 73.1 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (SRS:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.34 mag; bright enough for Jersey City (9.38); long-period cadence friendly (15.11 d); well away from Galactic plane (b=-36.5 deg); also observable from Fairbanks; sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=1.00 suggests blended/contaminated PSF"
