rank,name,common_name,object_type,constellation,ra_deg,dec_deg,size_major_arcmin,size_minor_arcmin,best_site,dark_minutes,peak_alt_deg,best_night,fits_fov,mosaic,score,captured_minutes,budget_minutes,completion_pct,deficit_minutes,budget_minutes_json,notes
1,M57,Ring Nebula,PN,Lyr,283.39600,+33.02900,1.4,1.0,Jersey City,240,82.05,2026-06-23,yes,no,483.07,0.0,960.0,0.0,960.0,"{""Ha"": 240, ""OIII"": 540, ""SII"": 180}",Tiny — undersampled at 840mm; do for the outer Ha halo
2,NGC 7023,Iris Nebula,REF,Cep,315.37900,+68.15800,18.0,18.0,Jersey City,210,56.91,2026-06-23,yes,no,400.36,0.0,1080.0,0.0,1080.0,"{""L"": 360, ""R"": 240, ""G"": 240, ""B"": 240}",Pure reflection — broadband only; embedded in dark dust
3,Sh2-101,Tulip Nebula,HII,Cyg,300.00000,+35.30000,17.0,12.0,Jersey City,180,74.01,2026-06-23,yes,no,381.01,0.0,1860.0,0.0,1860.0,"{""Ha"": 600, ""OIII"": 720, ""SII"": 540}",Near Cygnus X-1; OIII reveals shock front
4,NGC 6888,Crescent Nebula,WR,Cyg,303.02500,+38.35000,18.0,13.0,Jersey City,180,72.78,2026-06-23,yes,no,379.17,0.0,2040.0,0.0,2040.0,"{""Ha"": 600, ""OIII"": 900, ""SII"": 540}",Wolf-Rayet bubble — OIII shell is the headline; needs long subs
5,M27,Dumbbell Nebula,PN,Vul,299.90100,+22.72100,8.0,6.0,Jersey City,150,65.89,2026-06-23,yes,no,323.84,0.0,1140.0,0.0,1140.0,"{""Ha"": 360, ""OIII"": 540, ""SII"": 240}",Showcase OIII PN; faint outer halo rewards long Ha
6,NGC 6992,Eastern Veil,SNR,Cyg,313.04100,+31.71700,60.0,8.0,Jersey City,150,62.69,2026-06-23,yes,no,319.04,0.0,1680.0,0.0,1680.0,"{""Ha"": 480, ""OIII"": 720, ""SII"": 480}",Eastern strand; complementary to 6960
7,IC 5070,Pelican Nebula,HII,Cyg,313.66700,+44.36700,60.0,50.0,Jersey City,120,65.71,2026-06-23,yes,no,278.57,0.0,1680.0,0.0,1680.0,"{""Ha"": 540, ""OIII"": 600, ""SII"": 540}",Across the dust lane from NGC 7000; fits single frame
8,NGC 6960,Western Veil / Witch's Broom,SNR,Cyg,312.74900,+30.71700,70.0,6.0,Jersey City,120,62.42,2026-06-23,yes,no,273.63,0.0,1680.0,0.0,1680.0,"{""Ha"": 480, ""OIII"": 720, ""SII"": 480}",Western strand of Cygnus Loop; OIII spectacular
9,IC 1318,Butterfly / Sadr Region,HII,Cyg,305.50000,+40.25000,240.0,180.0,Jersey City,150,71.30,2026-06-23,no,yes,265.57,0.0,1620.0,0.0,1620.0,"{""Ha"": 540, ""OIII"": 600, ""SII"": 480}",Huge complex around Sadr; pick a panel or do 4-panel mosaic
10,M97,Owl Nebula,PN,UMa,168.70000,+55.01700,3.0,3.0,Jersey City,120,56.36,2026-06-10,yes,no,264.54,0.0,1320.0,0.0,1320.0,"{""Ha"": 360, ""OIII"": 720, ""SII"": 240}",Small but bright OIII; useful narrowband target in galaxy season
11,NGC 7000,North America Nebula,HII,Cyg,314.73700,+44.33700,120.0,100.0,Jersey City,120,64.95,2026-06-23,no,yes,221.93,0.0,1740.0,0.0,1740.0,"{""Ha"": 600, ""OIII"": 600, ""SII"": 540}",Two-panel mosaic for full nebula; Cygnus Wall alone (~30') fits single frame
12,Abell 78,Abell 78,WR,Cyg,326.50000,+31.50000,2.0,2.0,Jersey City,90,52.43,2026-06-23,yes,no,213.64,0.0,2280.0,0.0,2280.0,"{""Ha"": 720, ""OIII"": 1200, ""SII"": 360}",Very faint WR planetary nebula; OIII shell prominent with long subs
13,IC 1396,Elephant's Trunk Nebula,HII,Cep,324.50000,+57.50000,170.0,140.0,Jersey City,120,57.65,2026-06-23,no,yes,213.18,0.0,1740.0,0.0,1740.0,"{""Ha"": 600, ""OIII"": 600, ""SII"": 540}",Mosaic for full nebula; Trunk itself (~20') fits single frame
14,Sh2-155,Cave Nebula,HII,Cep,343.20800,+62.61700,50.0,30.0,Jersey City,90,47.81,2026-06-23,yes,no,206.72,0.0,1680.0,0.0,1680.0,"{""Ha"": 600, ""OIII"": 600, ""SII"": 480}","Strong Ha, modest OIII; fits single frame"
15,NGC 7380,Wizard Nebula,HII,Cep,341.50000,+58.11700,25.0,25.0,Jersey City,60,48.60,2026-06-23,yes,no,162.90,0.0,1680.0,0.0,1680.0,"{""Ha"": 540, ""OIII"": 600, ""SII"": 540}",Compact HII region; full SHO palette works
16,NGC 7635,Bubble Nebula,HII,Cas,350.19600,+61.19700,15.0,8.0,Jersey City,60,44.46,2026-06-23,yes,no,156.69,0.0,2040.0,0.0,2040.0,"{""Ha"": 600, ""OIII"": 900, ""SII"": 540}",OIII bubble is the highlight; pair with M52 if framing wider
17,M52,M52 + Bubble region,HII,Cas,351.17900,+61.59100,60.0,30.0,Jersey City,60,44.04,2026-06-23,yes,no,156.06,0.0,1680.0,0.0,1680.0,"{""Ha"": 540, ""OIII"": 600, ""SII"": 540}",Frame to include both M52 open cluster and NGC 7635 Bubble
18,NGC 7822,Cederblad 214 region,HII,Cep,0.08300,+68.56700,60.0,30.0,Jersey City,30,41.22,2026-06-23,yes,no,106.83,0.0,1680.0,0.0,1680.0,"{""Ha"": 540, ""OIII"": 600, ""SII"": 540}",Includes Ced 214 + Sh2-171; high in autumn skies from JC
