rank,name,common_name,object_type,constellation,ra_deg,dec_deg,size_major_arcmin,size_minor_arcmin,best_site,dark_minutes,peak_alt_deg,best_night,fits_fov,mosaic,score,captured_minutes,budget_minutes,completion_pct,deficit_minutes,budget_minutes_json,notes
1,M57,Ring,PN,Lyr,283.39600,+33.02900,1.0,1.0,Jersey City,240,82.05,2026-06-23,yes,no,483.07,0.0,300.0,0.0,300.0,"{""Ha"": 120, ""OIII"": 180}","Esprit: fits, PA 000° (long axis) | tiny — better long-FL/cropped"
2,Sh2-101,Tulip,HII,Cyg,299.97900,+35.27700,16.0,9.0,Jersey City,180,74.01,2026-06-23,yes,no,381.02,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, PA 135° (long axis) | S30: small | near Cyg X-1"
3,NGC 6888,Crescent,WR,Cyg,303.02700,+38.35500,18.0,12.0,Jersey City,180,72.78,2026-06-23,yes,no,379.17,0.0,390.0,0.0,390.0,"{""Ha"": 150, ""OIII"": 150, ""SII"": 90}","Esprit: fits, PA 060° (long axis) | S30: small | OIII shell + Ha; classic"
4,NGC 6820,Sh2-86,HII,Vul,295.61600,+23.08700,40.0,30.0,Jersey City,180,68.43,2026-06-23,yes,no,372.65,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, PA 000° (long axis) | pillar + NGC6823 cluster"
5,IC 5070,Pelican,HII,Cyg,312.75000,+44.36700,60.0,50.0,Jersey City,150,66.37,2026-06-23,yes,no,324.55,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, any (round) | fits tight; pairs w/ NGC7000"
6,M27,Dumbbell,PN,Vul,299.90200,+22.72100,8.0,6.0,Jersey City,150,65.89,2026-06-23,yes,no,323.84,0.0,390.0,0.0,390.0,"{""Ha"": 150, ""OIII"": 150, ""SII"": 90}","Esprit: fits, PA 030° (long axis) | S30: small | bright PN; OIII strong"
7,NGC 6960,Western Veil,SNR,Cyg,311.40800,+30.70800,70.0,8.0,Jersey City,150,63.41,2026-06-23,yes,no,320.12,0.0,300.0,0.0,300.0,"{""Ha"": 120, ""OIII"": 180}","Esprit: fits, PA 010° (long axis) | Witch's Broom / 52 Cyg; long thin"
8,IC 1318,Sadr / Butterfly,HII,Cyg,304.20000,+41.95700,180.0,170.0,Jersey City,180,72.48,2026-06-23,no,yes,302.97,0.0,300.0,0.0,300.0,"{""Ha"": 210, ""OIII"": 90}",S30: tight | Gamma Cyg complex; very large
9,NGC 6992,Eastern Veil,SNR,Cyg,314.07900,+31.74300,60.0,8.0,Jersey City,120,61.93,2026-06-23,yes,no,272.89,0.0,300.0,0.0,300.0,"{""Ha"": 120, ""OIII"": 180}","Esprit: fits, PA 200° (long axis) | Network; OIII-rich filament"
10,IC 1396A,Elephant's Trunk,HII,Cep,324.00000,+57.40000,20.0,10.0,Jersey City,120,57.94,2026-06-23,yes,no,266.90,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, PA 120° (long axis) | trunk only (full IC1396 too big)"
