Type,Name,Ra,Dec,Rotation,ROI
HII,Sh2-101,19h 59m 55s,"+35° 16' 37""",135,100
PN,M57,18h 53m 35s,"+33° 01' 44""",0,100
WR,NGC 6888,20h 12m 06s,"+38° 21' 18""",60,100
HII,NGC 6820,19h 42m 28s,"+23° 05' 13""",0,100
PN,M27,19h 59m 36s,"+22° 43' 16""",30,100
HII,Sh2-129,21h 11m 48s,"+59° 57' 00""",0,100
HII,IC 5070,20h 51m 00s,"+44° 22' 01""",0,100
HII,NGC 7000,20h 58m 47s,"+44° 19' 48""",0,100
SNR,NGC 6960,20h 45m 38s,"+30° 42' 29""",10,100
SNR,NGC 6992,20h 56m 19s,"+31° 44' 35""",200,100
HII,IC 1318,20h 16m 48s,"+41° 57' 25""",0,100
HII,Sh2-119,21h 18m 30s,"+43° 55' 59""",0,100
HII,IC 1396A,21h 36m 00s,"+57° 24' 00""",120,100
HII,IC 1396,21h 38m 59s,"+57° 30' 50""",0,100
SNR,Cygnus Loop,20h 51m 00s,"+30° 40' 01""",0,100
HII,IC 5146,21h 53m 29s,"+47° 14' 46""",0,100
HII,Sh2-155,22h 57m 06s,"+62° 38' 10""",90,100
HII,Sh2-132,22h 19m 09s,"+56° 04' 44""",30,100
HII,NGC 7380,22h 47m 16s,"+58° 07' 30""",0,100
HII,Sh2-157,23h 16m 04s,"+60° 02' 02""",40,100
HII,NGC 7635,23h 20m 48s,"+61° 12' 07""",0,100
HII,NGC 7822,00h 01m 09s,"+67° 25' 16""",0,100
