rank,name,common_name,object_type,constellation,ra_deg,dec_deg,size_major_arcmin,size_minor_arcmin,best_site,dark_minutes,peak_alt_deg,best_night,fits_fov,mosaic,score,captured_minutes,budget_minutes,completion_pct,deficit_minutes,budget_minutes_json,notes
1,M57,Ring,PN,Lyr,283.39600,+33.02900,1.0,1.0,Jersey City,150,72.62,2026-06-21,yes,no,333.93,0.0,300.0,0.0,300.0,"{""Ha"": 120, ""OIII"": 180}","Esprit: fits, PA 000° (long axis) | tiny — better long-FL/cropped"
2,Sh2-101,Tulip,HII,Cyg,299.97900,+35.27700,16.0,9.0,Jersey City,90,61.21,2026-06-21,yes,no,226.82,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, PA 135° (long axis) | S30: small | near Cyg X-1"
3,NGC 6888,Crescent,WR,Cyg,303.02700,+38.35500,18.0,12.0,Jersey City,90,59.93,2026-06-21,yes,no,224.90,0.0,390.0,0.0,390.0,"{""Ha"": 150, ""OIII"": 150, ""SII"": 90}","Esprit: fits, PA 060° (long axis) | S30: small | OIII shell + Ha; classic"
4,NGC 6820,Sh2-86,HII,Vul,295.61600,+23.08700,40.0,30.0,Jersey City,90,58.05,2026-06-21,yes,no,222.07,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, PA 000° (long axis) | pillar + NGC6823 cluster"
5,IC 1318,Sadr / Butterfly,HII,Cyg,304.20000,+41.95700,180.0,170.0,Jersey City,90,59.95,2026-06-21,no,yes,179.94,0.0,300.0,0.0,300.0,"{""Ha"": 210, ""OIII"": 90}",S30: tight | Gamma Cyg complex; very large
6,M27,Dumbbell,PN,Vul,299.90200,+22.72100,8.0,6.0,Jersey City,60,54.79,2026-06-21,yes,no,172.19,0.0,390.0,0.0,390.0,"{""Ha"": 150, ""OIII"": 150, ""SII"": 90}","Esprit: fits, PA 030° (long axis) | S30: small | bright PN; OIII strong"
7,IC 5070,Pelican,HII,Cyg,312.75000,+44.36700,60.0,50.0,Jersey City,60,54.31,2026-06-21,yes,no,171.47,0.0,420.0,0.0,420.0,"{""Ha"": 180, ""OIII"": 120, ""SII"": 120}","Esprit: fits, any (round) | fits tight; pairs w/ NGC7000"
8,NGC 7000,North America (+Pelican),HII,Cyg,314.69600,+44.33000,120.0,100.0,Jersey City,60,52.94,2026-06-21,yes,no,169.42,0.0,300.0,0.0,300.0,"{""Ha"": 210, ""OIII"": 90}",S30: fits | NGC7000+IC5070 in one frame — flagship S30 target
9,Sh2-129,Flying Bat (Ou4 Squid),HII,Cep,317.95000,+59.95000,150.0,120.0,Jersey City,60,51.92,2026-06-21,yes,no,167.88,0.0,300.0,0.0,300.0,"{""Ha"": 120, ""OIII"": 180}",S30: fits | OIII Squid very faint — dark-site
10,NGC 6960,Western Veil,SNR,Cyg,311.40800,+30.70800,70.0,8.0,Jersey City,30,50.60,2026-06-21,yes,no,120.90,0.0,300.0,0.0,300.0,"{""Ha"": 120, ""OIII"": 180}","Esprit: fits, PA 010° (long axis) | Witch's Broom / 52 Cyg; long thin"
