name,ra_deg,dec_deg,bright_mag,var_type,score,best_local_time
Gaia DR3 1558280625379648640,205.365980,48.912060,11.83,L,88.0,22:00
Gaia DR3 1477446592088319872,214.258930,31.712410,11.60,L,88.0,22:30
Gaia DR3 1559243419606846976,206.112500,51.685720,11.58,L,88.0,22:00
SX Boo,209.036410,14.136710,10.46,M,85.3,22:30
CT Dra,175.288710,75.472640,9.80,LB,70.9,22:00
Gaia DR3 834495451075774976,157.120300,48.238280,11.95,L,67.9,22:00
FF Dra,162.889010,75.191080,8.67,LB,62.8,22:00
RU Leo,163.289220,24.358640,10.30,LB,62.0,22:00
U CVn,191.831710,38.375190,9.00,M,59.0,22:00
RR Boo,221.774120,39.317110,8.20,M,59.0,23:00
T CVn,187.551670,31.503330,8.90,SRA,59.0,22:00
RW Boo,220.305760,31.572140,7.50,SRB,59.0,23:00
RX Boo,216.048460,25.703720,7.00,SRB,59.0,23:00
V CVn,199.865710,45.527140,6.52,SRA,59.0,22:00
FR Cam,180.077500,80.853190,6.21,LB,58.9,22:00
Gaia DR3 3665076433275739648,207.254960,2.789770,10.79,L,58.0,22:00
FG Dra,164.364910,74.336330,7.41,LB,57.7,22:00
AI Leo,175.119170,11.195170,8.44,SR,51.7,22:00
W Leo,163.406010,13.715080,8.90,M,22.2,22:00
