rank,score,global_score,name,type,ra_deg,dec_deg,max_mag,min_mag_or_amplitude,min_is_amplitude,amplitude_mag,period_days,primary_site,observable_sites,max_altitude_deg,minutes_above_minimum,best_night_date,best_local_time,galactic_latitude_deg,aavso_status,aavso_recent_observations,aavso_derived_period_days,aavso_period_disagrees,simbad_status,simbad_main_id,simbad_object_type,simbad_separation_arcsec,gaia_status,gaia_source_id,gaia_bp_rp,gaia_color_anomaly,ztf_status,ztf_observations,ztf_amplitude_mag,ztf_derived_period_days,ztf_period_disagrees,vsx_url,reasons
1,118.0,118.0,FL Leo,SRD:,168.05525,22.05542,8.390,8.760,False,0.370,46.24621600,Jersey City,Jersey City,71.1,210,2026-05-04,2026-05-04T21:30:00-04:00,66.9,ok,0,,,ok,V* FL Leo,LP*,0.049,ok,3991561567736311296,2.462,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17206,"max altitude 71.1 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (SRD:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.37 mag; bright enough for Jersey City (8.39); long-period cadence friendly (46.25 d); well away from Galactic plane (b=66.9 deg); sparse AAVSO coverage (0 recent observations)"
2,110.0,110.0,AB CVn,EA/RS:,182.91133,33.44944,13.760,14.740,False,0.980,5.16233000,Jersey City,Jersey City,82.7,210,2026-05-08,2026-05-08T22:00:00-04:00,79.3,ok,0,,,ok,V* AB CVn,EB*,0.285,ok,4028527079942922496,1.157,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=5073,"max altitude 82.7 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (EA/RS:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.98 mag; bright enough for Jersey City (13.76); well away from Galactic plane (b=79.3 deg); sparse AAVSO coverage (0 recent observations)"
3,110.0,110.0,TX Boo,EA/SD:,221.82263,31.84108,12.400,13.200,False,0.800,3.41274640,Jersey City,Jersey City,81.1,210,2026-05-17,2026-05-18T00:00:00-04:00,64.4,ok,0,,,ok,V* TX Boo,EB*,0.162,ok,1283457247344012160,0.733,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4334,"max altitude 81.1 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (EA/SD:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.80 mag; bright enough for Jersey City (12.40); well away from Galactic plane (b=64.4 deg); sparse AAVSO coverage (0 recent observations)"
4,108.0,108.0,FM Boo,LB:,232.93742,43.75367,10.650,10.830,False,0.180,,Jersey City,Jersey City,86.0,210,2026-05-17,2026-05-18T00:30:00-04:00,53.8,ok,0,,,ok,V* FM Boo,LP?,0.039,ok,1391456467740855296,2.057,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4479,"max altitude 86.0 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.18 mag; bright enough for Jersey City (10.65); no catalog period listed; well away from Galactic plane (b=53.8 deg); sparse AAVSO coverage (0 recent observations)"
5,108.0,108.0,ER Boo,LB:,223.32492,35.89578,9.890,10.020,False,0.130,,Jersey City,Jersey City,85.2,210,2026-05-11,2026-05-12T00:30:00-04:00,62.7,ok,0,,,ok,V* ER Boo,AB?,0.069,ok,1293443011943248896,2.236,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4464,"max altitude 85.2 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.13 mag; bright enough for Jersey City (9.89); no catalog period listed; well away from Galactic plane (b=62.7 deg); sparse AAVSO coverage (0 recent observations)"
6,108.0,108.0,CD CVn,LB:,195.01038,47.44233,9.480,9.640,False,0.160,,Jersey City,Jersey City,83.3,210,2026-05-05,2026-05-05T23:00:00-04:00,69.6,ok,0,,,ok,V* CD CVn,LP?,0.021,ok,1554974015959079424,1.387,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=5122,"max altitude 83.3 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.16 mag; bright enough for Jersey City (9.48); no catalog period listed; well away from Galactic plane (b=69.6 deg); sparse AAVSO coverage (0 recent observations)"
7,108.0,108.0,EU Boo,LB:,224.92654,32.06425,10.090,10.250,False,0.160,,Jersey City,Jersey City,81.3,210,2026-05-13,2026-05-14T00:30:00-04:00,61.8,ok,0,,,ok,V* EU Boo,AB?,0.029,ok,1288533520727799424,2.151,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4467,"max altitude 81.3 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.16 mag; bright enough for Jersey City (10.09); no catalog period listed; well away from Galactic plane (b=61.8 deg); sparse AAVSO coverage (0 recent observations)"
8,103.3,103.3,DD Leo,SRB:,152.06192,17.35858,8.730,0.590,True,0.590,110.90000000,Jersey City,Jersey City,61.3,120,2026-05-04,2026-05-04T21:30:00-04:00,51.2,ok,1,,,ok,V* DD Leo,AB*,0.036,ok,623202679522738560,3.851,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17158,"max altitude 61.3 deg from Jersey City; usable nightly window from Jersey City; uncertain or broad VSX type (SRB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.59 mag; bright enough for Jersey City (8.73); long-period cadence friendly (110.90 d); well away from Galactic plane (b=51.2 deg); sparse AAVSO coverage (1 recent observations)"
9,98.0,98.0,BP CVn,SRD,191.92271,34.38178,11.900,12.800,False,0.900,317.00000000,Jersey City,Jersey City,83.7,210,2026-05-17,2026-05-17T22:00:00-04:00,82.7,ok,0,,,ok,V* BP CVn,LP*,0.192,ok,1515149601719191424,1.759,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=5110,"max altitude 83.7 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.90 mag; bright enough for Jersey City (11.90); long-period cadence friendly (317.00 d); well away from Galactic plane (b=82.7 deg); sparse AAVSO coverage (0 recent observations)"
10,98.0,98.0,VX CVn,SRA,202.41838,41.09117,10.200,11.500,False,1.300,360.00000000,Jersey City,Jersey City,89.6,210,2026-05-05,2026-05-05T23:30:00-04:00,74.0,ok,2,,,ok,V* VX CVn,Mi*,0.060,ok,1477123404390244224,2.914,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=5059,"max altitude 89.6 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.30 mag; bright enough for Jersey City (10.20); long-period cadence friendly (360.00 d); well away from Galactic plane (b=74.0 deg); sparse AAVSO coverage (2 recent observations)"
