rank,score,global_score,name,type,ra_deg,dec_deg,max_mag,min_mag_or_amplitude,min_is_amplitude,amplitude_mag,period_days,primary_site,observable_sites,max_altitude_deg,minutes_above_minimum,best_night_date,best_local_time,galactic_latitude_deg,aavso_status,aavso_recent_observations,aavso_derived_period_days,aavso_period_disagrees,simbad_status,simbad_main_id,simbad_object_type,simbad_separation_arcsec,gaia_status,gaia_source_id,gaia_bp_rp,gaia_color_anomaly,ztf_status,ztf_observations,ztf_amplitude_mag,ztf_derived_period_days,ztf_period_disagrees,vsx_url,reasons
1,92.0,92.0,RU Leo,LB,163.28922,24.35864,10.300,12.000,False,1.700,62.22040000,Jersey City,Jersey City,72.0,180,2026-05-05,2026-05-05T21:30:00-04:00,63.3,ok,0,,,ok,V* RU Leo,LP*,0.090,ok,3990169959677318272,3.479,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17044,"max altitude 72.0 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.70 mag; bright enough for Jersey City (10.30); long-period cadence friendly (62.22 d); well away from Galactic plane (b=63.3 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=2.00 suggests blended/contaminated PSF"
2,88.0,88.0,Gaia DR3 834495451075774976,L,157.12030,48.23828,11.950,12.690,False,0.740,,Jersey City,Jersey City,76.8,210,2026-05-05,2026-05-05T21:30:00-04:00,55.2,ok,0,,,ok,G 146-35B,PM*,0.010,ok,834495451075774976,2.796,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=8414088,"max altitude 76.8 deg from Jersey City; long nightly window from Jersey City; survey-designated object, good data-mining follow-up candidate; catalog amplitude about 0.74 mag; bright enough for Jersey City (11.95); no catalog period listed; well away from Galactic plane (b=55.2 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=78.00 suggests blended/contaminated PSF"
3,79.2,79.2,CT Dra,LB,175.28871,75.47264,9.800,10.400,False,0.600,,Jersey City,Jersey City,55.2,210,2026-05-05,2026-05-05T21:30:00-04:00,40.9,ok,0,,,ok,V* CT Dra,LP*,0.013,ok,1079508869863038720,3.666,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=13792,"max altitude 55.2 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.60 mag; bright enough for Jersey City (9.80); no catalog period listed; well away from Galactic plane (b=40.9 deg); sparse AAVSO coverage (0 recent observations)"
4,79.0,79.0,YY Leo,SRB,152.08321,20.00372,9.470,0.230,True,0.230,40.90000000,Jersey City,Jersey City,63.0,120,2026-05-05,2026-05-05T21:30:00-04:00,52.1,ok,0,,,ok,V* YY Leo,LP*,0.061,ok,628305547347284608,2.204,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17083,"max altitude 63.0 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.23 mag; bright enough for Jersey City (9.47); long-period cadence friendly (40.90 d); well away from Galactic plane (b=52.1 deg); sparse AAVSO coverage (0 recent observations)"
5,73.4,73.4,AI Leo,SR,175.11917,11.19517,8.440,10.500,False,2.060,145.60000000,Jersey City,Jersey City,60.4,180,2026-05-05,2026-05-05T21:30:00-04:00,66.9,ok,13,,,ok,V* AI Leo,LP*,0.080,ok,3916153521250099712,3.042,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17094,"max altitude 60.4 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 2.06 mag; bright enough for Jersey City (8.44); long-period cadence friendly (145.60 d); well away from Galactic plane (b=66.9 deg); AAVSO has 13 recent observations"
6,73.3,73.3,FF Dra,LB,162.88901,75.19108,8.670,8.900,False,0.230,,Jersey City,Jersey City,55.3,210,2026-05-05,2026-05-05T21:30:00-04:00,39.6,ok,0,,,ok,V* FF Dra,LP*,0.005,ok,1080096593187951104,2.852,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=13842,"max altitude 55.3 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.23 mag; bright enough for Jersey City (8.67); no catalog period listed; well away from Galactic plane (b=39.6 deg); sparse AAVSO coverage (0 recent observations)"
7,72.7,72.7,VV Leo,SR,162.19424,8.66611,9.300,10.210,False,0.910,181.50000000,Jersey City,Jersey City,56.7,120,2026-05-05,2026-05-05T21:30:00-04:00,55.6,ok,0,,,ok,V* VV Leo,LP*,0.135,ok,3866186971240533120,4.489,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17071,"max altitude 56.7 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.91 mag; bright enough for Jersey City (9.30); long-period cadence friendly (181.50 d); well away from Galactic plane (b=55.6 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=9.00 suggests blended/contaminated PSF"
8,68.2,68.2,FG Dra,LB,164.36491,74.33633,7.410,7.680,False,0.270,,Jersey City,Jersey City,56.2,210,2026-05-05,2026-05-05T21:30:00-04:00,40.6,ok,0,,,ok,V* FG Dra,LP*,0.054,ok,1079765915065630592,3.811,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=13843,"max altitude 56.2 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.27 mag; bright enough for Jersey City (7.41); no catalog period listed; well away from Galactic plane (b=40.6 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=19.00 suggests blended/contaminated PSF"
9,63.4,63.4,TZ Cnc,SRA,136.00421,20.94864,10.700,12.100,False,1.400,55.30000000,Jersey City,Jersey City,53.4,60,2026-05-05,2026-05-05T21:30:00-04:00,38.1,ok,0,,,ok,V* TZ Cnc,Mi*,0.053,ok,684757154377984256,3.016,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4837,"max altitude 53.4 deg from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.40 mag; bright enough for Jersey City (10.70); long-period cadence friendly (55.30 d); well away from Galactic plane (b=38.1 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=2.00 suggests blended/contaminated PSF"
10,61.4,61.4,HM Aur,SRB,112.27829,40.68267,11.300,12.400,False,1.100,270.00000000,Jersey City,Jersey City,45.4,30,2026-05-05,2026-05-05T21:30:00-04:00,24.1,ok,0,,,ok,V* HM Aur,AB*,0.130,ok,900604481049772160,4.338,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=3975,"max altitude 45.4 deg from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.10 mag; bright enough for Jersey City (11.30); long-period cadence friendly (270.00 d); well away from Galactic plane (b=24.1 deg); sparse AAVSO coverage (0 recent observations)"
11,59.5,59.5,XX Cnc,LB,130.82162,20.60039,8.300,8.800,False,0.500,48.82000000,Jersey City,Jersey City,49.5,30,2026-05-05,2026-05-05T21:30:00-04:00,33.4,ok,3,,,ok,V* XX Cnc,LP*,0.026,ok,661461183044988928,3.218,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4853,"max altitude 49.5 deg from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.50 mag; bright enough for Jersey City (8.30); long-period cadence friendly (48.82 d); well away from Galactic plane (b=33.4 deg); sparse AAVSO coverage (3 recent observations); Gaia ipd_frac_multi_peak=2.00 suggests blended/contaminated PSF"
12,58.1,58.1,RR Cnc,M,122.76313,23.14850,8.500,15.500,False,7.000,296.04000000,Jersey City,Jersey City,45.1,30,2026-05-05,2026-05-05T21:30:00-04:00,27.2,ok,29,350.4861,True,ok,V* RR Cnc,Mi*,0.118,ok,677584077958142848,4.961,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4814,"max altitude 45.1 deg from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 7.00 mag; bright enough for Jersey City (8.50); long-period cadence friendly (296.04 d); well away from Galactic plane (b=27.2 deg); AAVSO has 29 recent observations; AAVSO period 350.4861 d disagrees with catalog 296.040 d; Gaia ipd_frac_multi_peak=4.00 suggests blended/contaminated PSF"
13,57.3,57.3,SY Leo,SRB,163.19547,-1.17969,10.670,0.930,True,0.930,82.00000000,Jersey City,Jersey City,47.3,60,2026-05-05,2026-05-05T21:30:00-04:00,49.8,ok,0,,,ok,V* SY Leo,LP*,0.589,ok,3802961371855960320,2.993,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17056,"max altitude 47.3 deg from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.93 mag; bright enough for Jersey City (10.67); long-period cadence friendly (82.00 d); well away from Galactic plane (b=49.8 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=3.00 suggests blended/contaminated PSF"
14,54.5,54.5,Gaia DR3 3814988693329859456,L,165.76830,3.73865,12.160,12.620,False,0.460,,Jersey City,Jersey City,52.5,90,2026-05-05,2026-05-05T21:30:00-04:00,55.1,ok,0,,,ok,Wolf  360,PM*,3.895,ok,3814988693329859456,2.427,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=8424324,"max altitude 52.5 deg from Jersey City; usable nightly window from Jersey City; survey-designated object, good data-mining follow-up candidate; catalog amplitude about 0.46 mag; no catalog period listed; well away from Galactic plane (b=55.1 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=99.00 suggests blended/contaminated PSF"
