Type,Name,Ra,Dec,Rotation,ROI
Variable Star,RU Leo,10h 53m 09s,"+24° 21' 31""",0,100
Variable Star,Gaia DR3 834495451075774976,10h 28m 29s,"+48° 14' 18""",0,100
Variable Star,UY CVn,12h 24m 54s,"+45° 35' 05""",0,100
Variable Star,TW CVn,12h 59m 21s,"+43° 53' 16""",0,100
Variable Star,Gaia DR3 1454878252642442624,13h 42m 15s,"+28° 23' 26""",0,100
Variable Star,BV Boo,13h 42m 04s,"+22° 54' 50""",0,100
Variable Star,VX CVn,13h 29m 40s,"+41° 05' 28""",0,100
Variable Star,Gaia DR3 1558280625379648640,13h 41m 28s,"+48° 54' 43""",0,100
Variable Star,Gaia DR3 1559243419606846976,13h 44m 27s,"+51° 41' 09""",0,100
Variable Star,ZZ CVn,13h 59m 11s,"+45° 28' 16""",0,100
Variable Star,RW CVn,13h 59m 33s,"+37° 11' 50""",0,100
Variable Star,SX Boo,13h 56m 09s,"+14° 08' 12""",0,100
Variable Star,Gaia DR3 1477446592088319872,14h 17m 02s,"+31° 42' 45""",0,100
Variable Star,Gaia DR3 1390617364274391936,15h 27m 19s,"+41° 30' 10""",0,100
Variable Star,AD CrB,16h 07m 09s,"+32° 22' 46""",0,100
